,function,service,direction,latency,bandwidth
0,aws,aws,upload,318.1120000000001,66.52297703626834
1,aws,aws,download,67.32000000000016,27.631942525559552
2,aws,gcp,upload,253.25200000000018,45.56140766525124
3,aws,gcp,download,124.86800000000011,58.50827306981209
4,gcp,aws,upload,481.4520000000002,14.675581593298547
5,gcp,aws,download,451.9160000000004,14.606813786495128
6,gcp,gcp,upload,366.52000000000044,15.902296291584506
7,gcp,gcp,download,296.2679999999998,17.34737777037623
