,function,service,latency,speed
0,aws,aws,15993.286956521742,3.6859171256256715
1,aws,gcp,2451.265217391303,5.324468479146603
2,gcp,aws,21361.186956521746,4.262255466991242
3,gcp,gcp,1111.9608695652187,5.036886065637196
